p1,p2,ptype,fid1,fid2,tags,set,nsamples,pp,new_type,old_tags,label
F0338/MID3,F0338/MID4,md,F0338,F0338,316,0,2,F0338.MID3.MID4,,md,3
F0993/MID2,F0993/MID4,fs,F0993,F0993,945,0,18,F0993.MID2.MID4,,fs,0
F0578/MID3,F0578/MID4,md,F0578,F0578,543,0,6,F0578.MID3.MID4,,md,3
F0466/MID1,F0466/MID5,fd,F0466,F0466,436,0,8,F0466.MID1.MID5,,fd,1
F0107/MID1,F0107/MID3,fd,F0107,F0107,99,0,80,F0107.MID1.MID3,,fd,1
F0757/MID2,F0757/MID1,fs,F0757,F0757,713,0,63,F0757.MID2.MID1,,fs,0
F0024/MID3,F0024/MID1,fd,F0024,F0024,21,0,40,F0024.MID3.MID1,,fd,1
F0661/MID1,F0661/MID2,fd,F0661,F0661,622,0,165,F0661.MID1.MID2,,fd,1
F0195/MID1,F0195/MID2,fd,F0195,F0195,184,0,18,F0195.MID1.MID2,,fd,1
F0602/MID2,F0602/MID1,fs,F0602,F0602,566,0,16,F0602.MID2.MID1,,fs,0
F1018/MID2,F1018/MID4,fs,F1018,F1018,962,0,110,F1018.MID2.MID4,,fs,0
F0011/MID1,F0011/MID2,fs,F0011,F0011,10,0,32,F0011.MID1.MID2,,fs,0
F0653/MID1,F0653/MID3,fs,F0653,F0653,614,0,40,F0653.MID1.MID3,,fs,0
F0574/MID4,F0574/MID2,md,F0574,F0574,540,0,21,F0574.MID4.MID2,,md,3
F0759/MID1,F0759/MID4,fs,F0759,F0759,715,0,14,F0759.MID1.MID4,,fs,0
F0107/MID5,F0107/MID8,fd,F0107,F0107,99,0,3,F0107.MID5.MID8,,fd,1
F0043/MID1,F0043/MID3,md,F0043,F0043,38,0,54,F0043.MID1.MID3,,md,3
F0955/MID7,F0955/MID1,fd,F0955,F0955,907,0,1,F0955.MID7.MID1,,fd,1
F0503/MID2,F0503/MID6,md,F0503,F0503,470,0,1,F0503.MID2.MID6,,md,3
F0249/MID7,F0249/MID4,ms,F0249,F0249,234,0,2,F0249.MID7.MID4,,ms,2
F0326/MID2,F0326/MID8,md,F0326,F0326,305,0,24,F0326.MID2.MID8,,md,3
F0960/MID1,F0960/MID5,fd,F0960,F0960,912,0,20,F0960.MID1.MID5,,fd,1
F0703/MID4,F0703/MID1,ms,F0703,F0703,662,0,10,F0703.MID4.MID1,,ms,2
F0194/MID2,F0194/MID1,fs,F0194,F0194,183,0,16,F0194.MID2.MID1,,fs,0
F0613/MID3,F0613/MID1,ms,F0613,F0613,576,0,7,F0613.MID3.MID1,,ms,2
F0506/MID2,F0506/MID5,md,F0506,F0506,473,0,18,F0506.MID2.MID5,,md,3
F0392/MID2,F0392/MID1,ms,F0392,F0392,367,0,20,F0392.MID2.MID1,,ms,2
F0102/MID1,F0102/MID2,fd,F0102,F0102,95,0,54,F0102.MID1.MID2,,fd,1
F0650/MID1,F0650/MID6,fs,F0650,F0650,611,0,8,F0650.MID1.MID6,,fs,0
F1003/MID1,F1003/MID7,fd,F1003,F1003,955,0,40,F1003.MID1.MID7,,fd,1
F0227/MID4,F0227/MID2,ms,F0227,F0227,213,0,3,F0227.MID4.MID2,,ms,2
F0574/MID1,F0574/MID3,fd,F0574,F0574,540,0,5,F0574.MID1.MID3,,fd,1
F0232/MID1,F0232/MID3,fd,F0232,F0232,217,0,6,F0232.MID1.MID3,,fd,1
F0442/MID5,F0442/MID7,md,F0442,F0442,414,0,6,F0442.MID5.MID7,,md,3
F0192/MID6,F0192/MID7,md,F0192,F0192,181,0,2,F0192.MID6.MID7,,md,3
F0525/MID4,F0525/MID3,ms,F0525,F0525,492,0,16,F0525.MID4.MID3,,ms,2
F0372/MID2,F0372/MID4,md,F0372,F0372,348,0,60,F0372.MID2.MID4,,md,3
F0013/MID4,F0013/MID8,md,F0013,F0013,12,0,3,F0013.MID4.MID8,,md,3
F0552/MID2,F0552/MID5,ms,F0552,F0552,519,0,40,F0552.MID2.MID5,,ms,2
F1007/MID2,F1007/MID5,ms,F1007,F1007,958,0,40,F1007.MID2.MID5,,ms,2
F0419/MID1,F0419/MID3,ms,F0419,F0419,391,0,49,F0419.MID1.MID3,,ms,2
F0687/MID1,F0687/MID2,fs,F0687,F0687,647,0,9,F0687.MID1.MID2,,fs,0
F0380/MID2,F0380/MID4,ms,F0380,F0380,356,0,88,F0380.MID2.MID4,,ms,2
F0387/MID2,F0387/MID3,fs,F0387,F0387,362,0,12,F0387.MID2.MID3,,fs,0
F0362/MID2,F0362/MID4,md,F0362,F0362,339,0,40,F0362.MID2.MID4,,md,3
F0066/MID1,F0066/MID3,fs,F0066,F0066,59,0,88,F0066.MID1.MID3,,fs,0
F0303/MID6,F0303/MID1,fs,F0303,F0303,284,0,29,F0303.MID6.MID1,,fs,0
F0376/MID8,F0376/MID4,ms,F0376,F0376,352,0,196,F0376.MID8.MID4,,ms,2
F0132/MID1,F0132/MID4,fd,F0132,F0132,124,0,16,F0132.MID1.MID4,,fd,1
F0321/MID2,F0321/MID1,md,F0321,F0321,300,0,18,F0321.MID2.MID1,,md,3
F0602/MID1,F0602/MID5,fd,F0602,F0602,566,0,56,F0602.MID1.MID5,,fd,1
F0722/MID3,F0722/MID1,ms,F0722,F0722,678,0,126,F0722.MID3.MID1,,ms,2
F0738/MID1,F0738/MID3,md,F0738,F0738,694,0,35,F0738.MID1.MID3,,md,3
F0964/MID4,F0964/MID2,ms,F0964,F0964,916,0,36,F0964.MID4.MID2,,ms,2
F0402/MID1,F0402/MID6,fs,F0402,F0402,374,0,27,F0402.MID1.MID6,,fs,0
F0209/MID1,F0209/MID5,fs,F0209,F0209,197,0,6,F0209.MID1.MID5,,fs,0
F0798/MID1,F0798/MID3,md,F0798,F0798,752,0,25,F0798.MID1.MID3,,md,3
F0641/MID2,F0641/MID6,ms,F0641,F0641,602,0,14,F0641.MID2.MID6,,ms,2
F0978/MID6,F0978/MID8,fd,F0978,F0978,930,0,1,F0978.MID6.MID8,,fd,1
F0740/MID4,F0740/MID7,ms,F0740,F0740,696,0,4,F0740.MID4.MID7,,ms,2
F0717/MID1,F0717/MID3,fd,F0717,F0717,673,0,21,F0717.MID1.MID3,,fd,1
F0180/MID2,F0180/MID4,ms,F0180,F0180,169,0,90,F0180.MID2.MID4,,ms,2
F0901/MID2,F0901/MID1,ms,F0901,F0901,854,0,6,F0901.MID2.MID1,,ms,2
F0922/MID1,F0922/MID5,fs,F0922,F0922,874,0,54,F0922.MID1.MID5,,fs,0
F0730/MID3,F0730/MID6,fd,F0730,F0730,686,0,6,F0730.MID3.MID6,,fd,1
F0965/MID2,F0965/MID3,ms,F0965,F0965,917,0,12,F0965.MID2.MID3,,ms,2
F0933/MID1,F0933/MID3,fd,F0933,F0933,885,0,72,F0933.MID1.MID3,,fd,1
F0237/MID6,F0237/MID1,fd,F0237,F0237,222,0,20,F0237.MID6.MID1,,fd,1
F0763/MID1,F0763/MID4,fd,F0763,F0763,719,0,39,F0763.MID1.MID4,,fd,1
F0991/MID12,F0991/MID11,fs,F0991,F0991,943,0,1,F0991.MID12.MID11,,fs,0
F0994/MID4,F0994/MID3,md,F0994,F0994,946,0,6,F0994.MID4.MID3,,md,3
F0050/MID2,F0050/MID3,md,F0050,F0050,45,0,15,F0050.MID2.MID3,,md,3
F0039/MID1,F0039/MID4,ms,F0039,F0039,34,0,18,F0039.MID1.MID4,,ms,2
F0770/MID1,F0770/MID2,fd,F0770,F0770,726,0,21,F0770.MID1.MID2,,fd,1
F0544/MID5,F0544/MID1,fd,F0544,F0544,511,0,6,F0544.MID5.MID1,,fd,1
F0701/MID1,F0701/MID7,md,F0701,F0701,660,0,27,F0701.MID1.MID7,,md,3
F0280/MID1,F0280/MID4,fd,F0280,F0280,262,0,40,F0280.MID1.MID4,,fd,1
F0235/MID3,F0235/MID4,fs,F0235,F0235,220,0,3,F0235.MID3.MID4,,fs,0
F0779/MID1,F0779/MID3,fs,F0779,F0779,734,0,30,F0779.MID1.MID3,,fs,0
F0249/MID6,F0249/MID5,ms,F0249,F0249,234,0,5,F0249.MID6.MID5,,ms,2
F0150/MID1,F0150/MID4,fd,F0150,F0150,141,0,30,F0150.MID1.MID4,,fd,1
F0610/MID4,F0610/MID3,fs,F0610,F0610,573,0,24,F0610.MID4.MID3,,fs,0
F0715/MID2,F0715/MID4,fs,F0715,F0715,671,0,4,F0715.MID2.MID4,,fs,0
F0482/MID2,F0482/MID4,ms,F0482,F0482,452,0,4,F0482.MID2.MID4,,ms,2
F0867/MID2,F0867/MID3,fd,F0867,F0867,820,0,50,F0867.MID2.MID3,,fd,1
F0906/MID2,F0906/MID3,fd,F0906,F0906,859,0,6,F0906.MID2.MID3,,fd,1
F0111/MID1,F0111/MID3,md,F0111,F0111,103,0,14,F0111.MID1.MID3,,md,3
F0029/MID1,F0029/MID6,fd,F0029,F0029,24,0,8,F0029.MID1.MID6,,fd,1
F0976/MID1,F0976/MID3,fs,F0976,F0976,928,0,95,F0976.MID1.MID3,,fs,0
F0773/MID5,F0773/MID3,fs,F0773,F0773,728,0,4,F0773.MID5.MID3,,fs,0
F0081/MID1,F0081/MID6,fd,F0081,F0081,74,0,18,F0081.MID1.MID6,,fd,1
F0601/MID6,F0601/MID21,fs,F0601,F0601,565,0,4578,F0601.MID6.MID21,,fs,0
F0579/MID8,F0579/MID4,ms,F0579,F0579,544,0,32,F0579.MID8.MID4,,ms,2
F0642/MID4,F0642/MID1,ms,F0642,F0642,603,0,144,F0642.MID4.MID1,,ms,2
F0314/MID2,F0314/MID5,md,F0314,F0314,293,0,27,F0314.MID2.MID5,,md,3
F0206/MID2,F0206/MID11,md,F0206,F0206,194,0,42,F0206.MID2.MID11,,md,3
F0235/MID1,F0235/MID3,fs,F0235,F0235,220,0,9,F0235.MID1.MID3,,fs,0
F0325/MID4,F0325/MID8,fd,F0325,F0325,304,0,4,F0325.MID4.MID8,,fd,1
F0765/MID3,F0765/MID5,fd,F0765,F0765,721,0,8,F0765.MID3.MID5,,fd,1
F0514/MID8,F0514/MID7,fs,F0514,F0514,481,0,2,F0514.MID8.MID7,,fs,0
F0061/MID6,F0061/MID8,fd,F0061,F0061,54,0,1,F0061.MID6.MID8,,fd,1
F0272/MID1,F0272/MID4,fd,F0272,F0272,255,0,30,F0272.MID1.MID4,,fd,1
F0388/MID1,F0388/MID4,fd,F0388,F0388,363,0,40,F0388.MID1.MID4,,fd,1
F0113/MID1,F0113/MID4,fs,F0113,F0113,105,0,40,F0113.MID1.MID4,,fs,0
F0863/MID1,F0863/MID3,fs,F0863,F0863,817,0,24,F0863.MID1.MID3,,fs,0
F0941/MID1,F0941/MID3,fs,F0941,F0941,893,0,32,F0941.MID1.MID3,,fs,0
F0987/MID11,F0987/MID14,ms,F0987,F0987,939,0,12,F0987.MID11.MID14,,ms,2
F0733/MID4,F0733/MID2,fd,F0733,F0733,689,0,20,F0733.MID4.MID2,,fd,1
F0959/MID5,F0959/MID4,fs,F0959,F0959,911,0,36,F0959.MID5.MID4,,fs,0
F0904/MID2,F0904/MID1,fs,F0904,F0904,857,0,72,F0904.MID2.MID1,,fs,0
F0984/MID1,F0984/MID5,fs,F0984,F0984,936,0,70,F0984.MID1.MID5,,fs,0
F0277/MID2,F0277/MID1,md,F0277,F0277,259,0,24,F0277.MID2.MID1,,md,3
F0124/MID1,F0124/MID2,fd,F0124,F0124,116,0,56,F0124.MID1.MID2,,fd,1
F0181/MID1,F0181/MID4,fd,F0181,F0181,170,0,18,F0181.MID1.MID4,,fd,1
F0965/MID7,F0965/MID1,ms,F0965,F0965,917,0,24,F0965.MID7.MID1,,ms,2
F0249/MID8,F0249/MID9,ms,F0249,F0249,234,0,4,F0249.MID8.MID9,,ms,2
F0029/MID1,F0029/MID7,fd,F0029,F0029,24,0,8,F0029.MID1.MID7,,fd,1
F0325/MID4,F0325/MID6,fd,F0325,F0325,304,0,12,F0325.MID4.MID6,,fd,1
F0600/MID6,F0600/MID2,ms,F0600,F0600,564,0,120,F0600.MID6.MID2,,ms,2
F0508/MID3,F0508/MID4,md,F0508,F0508,475,0,48,F0508.MID3.MID4,,md,3
F0696/MID1,F0696/MID5,fd,F0696,F0696,656,0,56,F0696.MID1.MID5,,fd,1
F0541/MID1,F0541/MID2,fd,F0541,F0541,508,0,45,F0541.MID1.MID2,,fd,1
F0256/MID2,F0256/MID4,md,F0256,F0256,241,0,30,F0256.MID2.MID4,,md,3
F0717/MID6,F0717/MID7,ms,F0717,F0717,673,0,2,F0717.MID6.MID7,,ms,2
F0009/MID5,F0009/MID3,fs,F0009,F0009,8,0,195,F0009.MID5.MID3,,fs,0
F0256/MID1,F0256/MID3,fd,F0256,F0256,241,0,42,F0256.MID1.MID3,,fd,1
F0811/MID5,F0811/MID8,md,F0811,F0811,765,0,3,F0811.MID5.MID8,,md,3
F0377/MID4,F0377/MID5,md,F0377,F0377,353,0,5,F0377.MID4.MID5,,md,3
F0110/MID2,F0110/MID3,fs,F0110,F0110,102,0,8,F0110.MID2.MID3,,fs,0
F0802/MID2,F0802/MID4,md,F0802,F0802,756,0,20,F0802.MID2.MID4,,md,3
F0066/MID2,F0066/MID4,md,F0066,F0066,59,0,66,F0066.MID2.MID4,,md,3
F0302/MID2,F0302/MID4,fd,F0302,F0302,283,0,36,F0302.MID2.MID4,,fd,1
F0196/MID5,F0196/MID1,ms,F0196,F0196,185,0,7,F0196.MID5.MID1,,ms,2
F0128/MID1,F0128/MID3,fd,F0128,F0128,120,0,135,F0128.MID1.MID3,,fd,1
F0852/MID4,F0852/MID5,fd,F0852,F0852,806,0,28,F0852.MID4.MID5,,fd,1
F0198/MID5,F0198/MID3,fs,F0198,F0198,187,0,54,F0198.MID5.MID3,,fs,0
F0213/MID1,F0213/MID2,fd,F0213,F0213,201,0,35,F0213.MID1.MID2,,fd,1
F0957/MID2,F0957/MID4,ms,F0957,F0957,909,0,14,F0957.MID2.MID4,,ms,2
F0020/MID1,F0020/MID6,fd,F0020,F0020,17,0,18,F0020.MID1.MID6,,fd,1
F0494/MID1,F0494/MID4,fd,F0494,F0494,463,0,49,F0494.MID1.MID4,,fd,1
F0802/MID2,F0802/MID5,md,F0802,F0802,756,0,20,F0802.MID2.MID5,,md,3
F0125/MID6,F0125/MID3,fd,F0125,F0125,117,0,1,F0125.MID6.MID3,,fd,1
F0550/MID3,F0550/MID4,md,F0550,F0550,517,0,15,F0550.MID3.MID4,,md,3
F0152/MID5,F0152/MID4,ms,F0152,F0152,143,0,1,F0152.MID5.MID4,,ms,2
F0763/MID3,F0763/MID6,md,F0763,F0763,719,0,20,F0763.MID3.MID6,,md,3
F0425/MID6,F0425/MID10,fs,F0425,F0425,397,0,21,F0425.MID6.MID10,,fs,0
F0601/MID4,F0601/MID16,md,F0601,F0601,565,0,264,F0601.MID4.MID16,,md,3
F0592/MID4,F0592/MID2,fd,F0592,F0592,557,0,6,F0592.MID4.MID2,,fd,1
F0272/MID2,F0272/MID3,md,F0272,F0272,255,0,5,F0272.MID2.MID3,,md,3
F0061/MID5,F0061/MID8,md,F0061,F0061,54,0,2,F0061.MID5.MID8,,md,3
F0181/MID2,F0181/MID5,ms,F0181,F0181,170,0,6,F0181.MID2.MID5,,ms,2
F0293/MID4,F0293/MID3,ms,F0293,F0293,274,0,20,F0293.MID4.MID3,,ms,2
F1007/MID2,F1007/MID7,ms,F1007,F1007,958,0,48,F1007.MID2.MID7,,ms,2
F0886/MID4,F0886/MID5,fs,F0886,F0886,839,0,5,F0886.MID4.MID5,,fs,0
F0216/MID1,F0216/MID5,fd,F0216,F0216,204,0,24,F0216.MID1.MID5,,fd,1
F0423/MID5,F0423/MID2,ms,F0423,F0423,395,0,10,F0423.MID5.MID2,,ms,2
F0376/MID1,F0376/MID7,fs,F0376,F0376,352,0,64,F0376.MID1.MID7,,fs,0
F0494/MID2,F0494/MID5,md,F0494,F0494,463,0,35,F0494.MID2.MID5,,md,3
F0188/MID2,F0188/MID1,fs,F0188,F0188,177,0,5,F0188.MID2.MID1,,fs,0
F0760/MID1,F0760/MID4,fd,F0760,F0760,716,0,50,F0760.MID1.MID4,,fd,1
F0113/MID3,F0113/MID4,ms,F0113,F0113,105,0,16,F0113.MID3.MID4,,ms,2
F0637/MID4,F0637/MID1,ms,F0637,F0637,599,0,7,F0637.MID4.MID1,,ms,2
F0216/MID2,F0216/MID3,md,F0216,F0216,204,0,16,F0216.MID2.MID3,,md,3
F0664/MID8,F0664/MID6,ms,F0664,F0664,625,0,1,F0664.MID8.MID6,,ms,2
F0262/MID2,F0262/MID7,ms,F0262,F0262,246,0,10,F0262.MID2.MID7,,ms,2
F0229/MID6,F0229/MID1,ms,F0229,F0229,215,0,4,F0229.MID6.MID1,,ms,2
F0156/MID1,F0156/MID5,fs,F0156,F0156,147,0,9,F0156.MID1.MID5,,fs,0
F0068/MID2,F0068/MID3,fd,F0068,F0068,61,0,15,F0068.MID2.MID3,,fd,1
F0128/MID2,F0128/MID6,ms,F0128,F0128,120,0,70,F0128.MID2.MID6,,ms,2
F0251/MID7,F0251/MID6,md,F0251,F0251,236,0,1,F0251.MID7.MID6,,md,3
F0489/MID2,F0489/MID3,fd,F0489,F0489,458,0,8,F0489.MID2.MID3,,fd,1
F0284/MID6,F0284/MID1,fd,F0284,F0284,266,0,9,F0284.MID6.MID1,,fd,1
F0235/MID6,F0235/MID5,ms,F0235,F0235,220,0,1,F0235.MID6.MID5,,ms,2
F0868/MID3,F0868/MID2,ms,F0868,F0868,821,0,27,F0868.MID3.MID2,,ms,2
F0761/MID2,F0761/MID3,ms,F0761,F0761,717,0,54,F0761.MID2.MID3,,ms,2
F0029/MID2,F0029/MID4,ms,F0029,F0029,24,0,36,F0029.MID2.MID4,,ms,2
F0881/MID5,F0881/MID1,ms,F0881,F0881,834,0,18,F0881.MID5.MID1,,ms,2
F0672/MID6,F0672/MID7,md,F0672,F0672,632,0,6,F0672.MID6.MID7,,md,3
F0380/MID1,F0380/MID4,fs,F0380,F0380,356,0,104,F0380.MID1.MID4,,fs,0
F0896/MID2,F0896/MID4,md,F0896,F0896,849,0,15,F0896.MID2.MID4,,md,3
F0247/MID2,F0247/MID3,fs,F0247,F0247,232,0,18,F0247.MID2.MID3,,fs,0
F0070/MID2,F0070/MID5,ms,F0070,F0070,63,0,21,F0070.MID2.MID5,,ms,2
F0945/MID2,F0945/MID3,ms,F0945,F0945,897,0,20,F0945.MID2.MID3,,ms,2
F0098/MID1,F0098/MID4,fs,F0098,F0098,91,0,70,F0098.MID1.MID4,,fs,0
F0892/MID1,F0892/MID3,md,F0892,F0892,845,0,60,F0892.MID1.MID3,,md,3
F0751/MID2,F0751/MID3,md,F0751,F0751,707,0,42,F0751.MID2.MID3,,md,3
F0822/MID2,F0822/MID1,fs,F0822,F0822,776,0,2,F0822.MID2.MID1,,fs,0
F0249/MID7,F0249/MID10,md,F0249,F0249,234,0,3,F0249.MID7.MID10,,md,3
F0957/MID1,F0957/MID5,fd,F0957,F0957,909,0,18,F0957.MID1.MID5,,fd,1
F0298/MID6,F0298/MID1,fd,F0298,F0298,279,0,20,F0298.MID6.MID1,,fd,1
F0646/MID2,F0646/MID3,md,F0646,F0646,607,0,14,F0646.MID2.MID3,,md,3
F0556/MID4,F0556/MID1,md,F0556,F0556,522,0,52,F0556.MID4.MID1,,md,3
F0610/MID4,F0610/MID1,fs,F0610,F0610,573,0,24,F0610.MID4.MID1,,fs,0
F0088/MID1,F0088/MID3,fd,F0088,F0088,81,0,117,F0088.MID1.MID3,,fd,1
F0583/MID6,F0583/MID1,md,F0583,F0583,548,0,72,F0583.MID6.MID1,,md,3
F0548/MID1,F0548/MID4,fs,F0548,F0548,515,0,14,F0548.MID1.MID4,,fs,0
F0128/MID4,F0128/MID1,ms,F0128,F0128,120,0,30,F0128.MID4.MID1,,ms,2
F0202/MID3,F0202/MID1,ms,F0202,F0202,191,0,80,F0202.MID3.MID1,,ms,2
F0763/MID1,F0763/MID7,fd,F0763,F0763,719,0,65,F0763.MID1.MID7,,fd,1
F0198/MID5,F0198/MID2,fs,F0198,F0198,187,0,54,F0198.MID5.MID2,,fs,0
F0672/MID1,F0672/MID4,fs,F0672,F0672,632,0,39,F0672.MID1.MID4,,fs,0
F0804/MID4,F0804/MID6,fd,F0804,F0804,758,0,15,F0804.MID4.MID6,,fd,1
F0228/MID2,F0228/MID3,md,F0228,F0228,214,0,4,F0228.MID2.MID3,,md,3
F0411/MID2,F0411/MID3,md,F0411,F0411,383,0,30,F0411.MID2.MID3,,md,3
F0545/MID2,F0545/MID6,md,F0545,F0545,512,0,30,F0545.MID2.MID6,,md,3
F0425/MID2,F0425/MID4,md,F0425,F0425,397,0,90,F0425.MID2.MID4,,md,3
F0934/MID4,F0934/MID2,fs,F0934,F0934,886,0,40,F0934.MID4.MID2,,fs,0
F0601/MID8,F0601/MID18,ms,F0601,F0601,565,0,325,F0601.MID8.MID18,,ms,2
F0174/MID3,F0174/MID6,md,F0174,F0174,165,0,30,F0174.MID3.MID6,,md,3
F0915/MID5,F0915/MID6,fs,F0915,F0915,867,0,2,F0915.MID5.MID6,,fs,0
F0806/MID1,F0806/MID2,md,F0806,F0806,760,0,60,F0806.MID1.MID2,,md,3
F0325/MID13,F0325/MID15,fs,F0325,F0325,304,0,1,F0325.MID13.MID15,,fs,0
F0460/MID1,F0460/MID3,fs,F0460,F0460,432,0,30,F0460.MID1.MID3,,fs,0
F0696/MID7,F0696/MID1,ms,F0696,F0696,656,0,14,F0696.MID7.MID1,,ms,2
F1013/MID1,F1013/MID5,fs,F1013,F1013,959,0,66,F1013.MID1.MID5,,fs,0
F0009/MID5,F0009/MID6,fs,F0009,F0009,8,0,364,F0009.MID5.MID6,,fs,0
F0257/MID5,F0257/MID2,fs,F0257,F0257,242,0,4,F0257.MID5.MID2,,fs,0
F0227/MID1,F0227/MID5,fs,F0227,F0227,213,0,8,F0227.MID1.MID5,,fs,0
F0863/MID2,F0863/MID3,ms,F0863,F0863,817,0,15,F0863.MID2.MID3,,ms,2
F0987/MID1,F0987/MID3,fd,F0987,F0987,939,0,176,F0987.MID1.MID3,,fd,1
F0120/MID1,F0120/MID5,ms,F0120,F0120,112,0,24,F0120.MID1.MID5,,ms,2
F0695/MID2,F0695/MID4,md,F0695,F0695,655,0,5,F0695.MID2.MID4,,md,3
F0887/MID1,F0887/MID3,fd,F0887,F0887,840,0,18,F0887.MID1.MID3,,fd,1
F0771/MID2,F0771/MID5,md,F0771,F0771,727,0,18,F0771.MID2.MID5,,md,3
F0745/MID3,F0745/MID2,ms,F0745,F0745,701,0,20,F0745.MID3.MID2,,ms,2
F0325/MID11,F0325/MID15,ms,F0325,F0325,304,0,1,F0325.MID11.MID15,,ms,2
F0783/MID1,F0783/MID4,ms,F0783,F0783,738,0,25,F0783.MID1.MID4,,ms,2
F0394/MID3,F0394/MID2,fs,F0394,F0394,369,0,6,F0394.MID3.MID2,,fs,0
F0198/MID5,F0198/MID4,fs,F0198,F0198,187,0,63,F0198.MID5.MID4,,fs,0
F0899/MID2,F0899/MID1,ms,F0899,F0899,852,0,36,F0899.MID2.MID1,,ms,2
F0144/MID2,F0144/MID7,md,F0144,F0144,135,0,14,F0144.MID2.MID7,,md,3
F0270/MID4,F0270/MID1,md,F0270,F0270,253,0,40,F0270.MID4.MID1,,md,3
F0299/MID2,F0299/MID5,md,F0299,F0299,280,0,114,F0299.MID2.MID5,,md,3
F0029/MID2,F0029/MID3,md,F0029,F0029,24,0,48,F0029.MID2.MID3,,md,3
F0881/MID1,F0881/MID2,fd,F0881,F0881,834,0,54,F0881.MID1.MID2,,fd,1
F0032/MID3,F0032/MID1,md,F0032,F0032,27,0,28,F0032.MID3.MID1,,md,3
F0047/MID4,F0047/MID2,fs,F0047,F0047,42,0,42,F0047.MID4.MID2,,fs,0
F0486/MID1,F0486/MID4,ms,F0486,F0486,455,0,90,F0486.MID1.MID4,,ms,2
F0273/MID1,F0273/MID4,fs,F0273,F0273,256,0,40,F0273.MID1.MID4,,fs,0
F0096/MID3,F0096/MID1,ms,F0096,F0096,89,0,54,F0096.MID3.MID1,,ms,2
F0969/MID1,F0969/MID5,fd,F0969,F0969,921,0,35,F0969.MID1.MID5,,fd,1
F0979/MID1,F0979/MID3,fs,F0979,F0979,931,0,9,F0979.MID1.MID3,,fs,0
F0991/MID18,F0991/MID14,fs,F0991,F0991,943,0,1,F0991.MID18.MID14,,fs,0
F0288/MID2,F0288/MID4,ms,F0288,F0288,270,0,6,F0288.MID2.MID4,,ms,2
F0023/MID2,F0023/MID1,md,F0023,F0023,20,0,11,F0023.MID2.MID1,,md,3
F0615/MID2,F0615/MID3,ms,F0615,F0615,578,0,45,F0615.MID2.MID3,,ms,2
F0552/MID11,F0552/MID10,fs,F0552,F0552,519,0,1,F0552.MID11.MID10,,fs,0
F0004/MID1,F0004/MID2,fs,F0004,F0004,3,0,126,F0004.MID1.MID2,,fs,0
F0537/MID1,F0537/MID5,fd,F0537,F0537,504,0,48,F0537.MID1.MID5,,fd,1
F0636/MID2,F0636/MID6,ms,F0636,F0636,598,0,2,F0636.MID2.MID6,,ms,2
F0064/MID2,F0064/MID5,ms,F0064,F0064,57,0,104,F0064.MID2.MID5,,ms,2
F0615/MID1,F0615/MID3,fs,F0615,F0615,578,0,40,F0615.MID1.MID3,,fs,0
F0296/MID3,F0296/MID5,ms,F0296,F0296,277,0,4,F0296.MID3.MID5,,ms,2
F0642/MID1,F0642/MID5,fs,F0642,F0642,603,0,108,F0642.MID1.MID5,,fs,0
F0020/MID1,F0020/MID2,fd,F0020,F0020,17,0,18,F0020.MID1.MID2,,fd,1
F0489/MID4,F0489/MID3,md,F0489,F0489,458,0,1,F0489.MID4.MID3,,md,3
F0376/MID8,F0376/MID7,ms,F0376,F0376,352,0,56,F0376.MID8.MID7,,ms,2
F0376/MID8,F0376/MID10,md,F0376,F0376,352,0,14,F0376.MID8.MID10,,md,3
F0234/MID2,F0234/MID4,ms,F0234,F0234,219,0,25,F0234.MID2.MID4,,ms,2
F0525/MID1,F0525/MID2,fs,F0525,F0525,492,0,72,F0525.MID1.MID2,,fs,0
F0337/MID1,F0337/MID8,fd,F0337,F0337,315,0,8,F0337.MID1.MID8,,fd,1
F0432/MID3,F0432/MID1,fs,F0432,F0432,404,0,68,F0432.MID3.MID1,,fs,0
F0537/MID2,F0537/MID3,ms,F0537,F0537,504,0,40,F0537.MID2.MID3,,ms,2
F0922/MID1,F0922/MID3,fs,F0922,F0922,874,0,48,F0922.MID1.MID3,,fs,0
F0579/MID8,F0579/MID7,ms,F0579,F0579,544,0,32,F0579.MID8.MID7,,ms,2
F0552/MID11,F0552/MID8,fd,F0552,F0552,519,0,2,F0552.MID11.MID8,,fd,1
F0653/MID2,F0653/MID3,ms,F0653,F0653,614,0,20,F0653.MID2.MID3,,ms,2
F0024/MID4,F0024/MID5,ms,F0024,F0024,21,0,2,F0024.MID4.MID5,,ms,2
F1005/MID2,F1005/MID3,ms,F1005,F1005,957,0,36,F1005.MID2.MID3,,ms,2
F0401/MID3,F0401/MID1,ms,F0401,F0401,373,0,8,F0401.MID3.MID1,,ms,2
F0476/MID3,F0476/MID2,fd,F0476,F0476,446,0,20,F0476.MID3.MID2,,fd,1
F0539/MID1,F0539/MID3,fd,F0539,F0539,506,0,30,F0539.MID1.MID3,,fd,1
F0213/MID1,F0213/MID3,fd,F0213,F0213,201,0,25,F0213.MID1.MID3,,fd,1
F0848/MID1,F0848/MID4,fd,F0848,F0848,802,0,84,F0848.MID1.MID4,,fd,1
F0325/MID2,F0325/MID10,ms,F0325,F0325,304,0,6,F0325.MID2.MID10,,ms,2
F0740/MID4,F0740/MID6,ms,F0740,F0740,696,0,6,F0740.MID4.MID6,,ms,2
